# k relative_L2_error
1.000000000000000000e+01 1.111128616850900374e-06
2.000000000000000000e+01 7.668488384242225735e-06
3.000000000000000000e+01 1.810174619076157992e-05
4.000000000000000000e+01 1.356967694572293608e-04
5.000000000000000000e+01 1.857358633049165369e-04
6.000000000000000000e+01 9.676928590082519311e-04
7.000000000000000000e+01 3.734272434600831628e-04
8.000000000000000000e+01 2.358668112040976231e-04
9.000000000000000000e+01 3.024750976485366186e-02
1.000000000000000000e+02 2.239182937193777076e-02
